Component Type,Brand Name,Description,Notes,Supplier,Updated,Unit Cost
Inverter Aux Equipment,,Tauro AC Connection : Multicore,,Innomatic Solar,17 June 2025,R4 200.00
Inverter Aux Equipment,Sigenergy,Sigen Energy Data Logger (Custom),,Heroldts,07 July 2025,R117 230.00
Inverter Aux Equipment,Sigenergy,SigenStack Base Main (Mounting Kit),,Heroldts,07 July 2025,R12 280.00
Inverter Aux Equipment,Sigenergy,SigenStack Base Main (Mounting Kit),,Heroldts,07 July 2025,R14 730.00
Inverter Aux Equipment,Sigenergy,SigenStack Base Sub (Mounting Kit),,Heroldts,07 July 2025,R12 280.00
Inverter Aux Equipment,Sigenergy,SigenStack Base Sub (Mounting Kit),,Heroldts,07 July 2025,R14 730.00
Inverter Aux Equipment,Sigenergy,SigenStack BC Cables 4Meter,,Heroldts,07 July 2025,R4 060.00
Inverter Aux Equipment,Sigenergy,SigenStack Battery Controller 0.5C (Required If There Is PV),,Heroldts,07 July 2025,R61 380.00
Inverter Aux Equipment,Sigenergy,SigenStack Battery Controller 1C (Required If There Is PV),,Heroldts,07 July 2025,R103 110.00
Inverter Aux Equipment,Sigenergy,SigenStack Base 4 Stack Base (Mounting Kit),,Heroldts,07 July 2025,R49 100.00
Inverter Aux Equipment,Sigenergy,SigenStack Cover,,Heroldts,07 July 2025,R4 060.00
Inverter Aux Equipment,Sigenergy,SigenStack Lifting Handles,,Heroldts,07 July 2025,R860.00
Inverter Aux Equipment,Sigenergy,Sigen SP Home Gateway 1x Inverter (12kw Max Output),,Heroldts,07 July 2025,R6 360.00
Inverter Aux Equipment,Sigenergy,Sigen SP Home Max Gateway 3x Inverter (24kw Max output),,Heroldts,07 July 2025,R13 980.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 50x Inverter (1200kw Max Output),,Heroldts,07 July 2025,R823 490.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 6x Inverter (120kw Max Output),,Heroldts,07 July 2025,R65 180.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 9x Inverter (180kw Max Output),,Heroldts,07 July 2025,R117 310.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 12x Inverter (300kw Max Output),,Heroldts,07 July 2025,R193 010.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 30x Inverter (600kw Max Output),,Heroldts,07 July 2025,R566 150.00
Inverter Aux Equipment,Sigenergy,Sigen TP Home Gateway 1x Inverter (30kw Max Output),,Heroldts,07 July 2025,R7 630.00
Inverter Aux Equipment,Sigenergy,Sigen TP Home Max Gateway 2x Inverter (50kw Max Output),,Heroldts,07 July 2025,R20 940.00
Inverter Aux Equipment,Sigenergy,SigenStor Installation Kit for Ground-mounted,,HERHOLDTS,19 May 2025,R1 990.00
Inverter Aux Equipment,Sigenergy,Sigen Commercial Gateway 6x Inverter (120kw Max Output),,HERHOLDTS,19 May 2025,R64 090.00
Inverter Aux Equipment,Sigenergy,Sigen Communication Module Global,,HERHOLDTS,19 May 2025,R1 900.00
